Site.ID,Tour.ID,AM_n,AM_b,AH_n,AP_n,AP_b,CM,H_n,H_b,H_iso,PP_n,PP_type,Site.name,Latitude,Longitude,Altitude.x,Air.temp,Air.humidity,Soil.temp,Soil.humidity,Pop_size,Tour_ID,Plant_ID,HpA_plant,Albugo,Necrosis,Used_for,Lat,Long,HpA_site,Altitude.y,Notes,,,,
P0023,ITA,2,1,4,2,1,1,2,1,NA,20,1,Timpo,39.26974,16.27086,438,12.5,73.2,10.2,17.2,10000,ITA,PA0151,0,NA,NA,M,39.26974,16.27086,1,438,"Flowering with first siliques; few leaves, those sort of happy",,,,
P0023,ITA,2,1,4,2,1,1,2,1,NA,20,1,Timpo,39.26974,16.27086,438,12.5,73.2,10.2,17.2,10000,ITA,PA0150,0,NA,NA,M,39.26974,16.27086,1,438,Flowering plant with some dodgy-looking reddish leaves,,,,
P0024,ITA,2,1,7,2,1,1,7,1,NA,20,4,Bisig,39.48333,16.2784,180,19.4,61.7,15.6,8.46,100000,ITA,PA0161,1,NA,NA,M,39.48333,16.2784,1,180,relatively small plant that just started flowering, two leaves patchy yellowish, from lake side,,
P0024,ITA,2,1,7,2,1,1,7,1,NA,20,4,Bisig,39.48333,16.2784,180,19.4,61.7,15.6,8.46,100000,ITA,PC0067,0,NA,NA,M,39.48333,16.2784,1,180,small plant, just started flowering,,,
P0024,ITA,2,1,7,2,1,1,7,1,NA,20,4,Bisig,39.48333,16.2784,180,19.4,61.7,15.6,8.46,100000,ITA,PA0160,0,NA,NA,M,39.48333,16.2784,1,180,ca 1 E size rosette, healthy-looking, just started flowering, from lake side, from lake side
P0025,ITA,2,1,2,2,1,1,2,1,NA,20,3,Basen,40.34001,16.72877,44,20,50.4,18.2,18.58,5000,ITA,PA0236,0,NA,NA,M,40.34001,16.72877,1,44,small rosette with yellow-brown-green leaves, flowering with siliques, some necrotic marks on leaf undersides - might be bites, other side of street wo house,
P0025,ITA,2,1,2,2,1,1,2,1,NA,20,3,Basen,40.34001,16.72877,44,20,50.4,18.2,18.58,5000,ITA,PA0234,0,NA,NA,M,40.34001,16.72877,1,44,"small rosette, healthy; just started flowering; ; street side",,,,
P0025,ITA,2,1,2,2,1,1,2,1,NA,20,3,Basen,40.34001,16.72877,44,20,50.4,18.2,18.58,5000,ITA,PC0068,0,NA,NA,M,40.34001,16.72877,1,44,very small plant that just started flowering,,,,
P0026,ITA,2,1,2,2,1,1,2,1,NA,20,4,Valsi,40.18058,16.44843,126,17.9,49.1,13.6,6.22,1000,ITA,PA0243,0,NA,NA,M,40.18058,16.44843,1,126,medium size rosette, healthy, just started flowering, outside orchard,
P0026,ITA,2,1,2,2,1,1,2,1,NA,20,4,Valsi,40.18058,16.44843,126,17.9,49.1,13.6,6.22,1000,ITA,PA0240,0,NA,NA,M,40.18058,16.44843,1,126,relatively small rosette, only 5 leaves, a bit reddish, flowering with first siliques, in orchard
P0026,ITA,2,1,2,2,1,1,2,1,NA,20,4,Valsi,40.18058,16.44843,126,17.9,49.1,13.6,6.22,1000,ITA,PC0069,0,NA,NA,M,40.18058,16.44843,1,126,medium size, flowering, green,,
P0028,ITA,2,1,2,2,1,1,0,0,NA,20,1,Filet,40.67525,14.86878,70,20.2,52.4,21.9,13.58,300,ITA,PC0070,0,NA,NA,M,40.67525,14.86878,0,70,inside fence, small plant that just started flowering,,,
P0028,ITA,2,1,2,2,1,1,0,0,NA,20,1,Filet,40.67525,14.86878,70,20.2,52.4,21.9,13.58,300,ITA,PA0246,0,NA,NA,M,40.67525,14.86878,0,70,inside fence, relatively big rosette, healthy with some bites, flowering with siliques,
P0028,ITA,2,1,2,2,1,1,0,0,NA,20,1,Filet,40.67525,14.86878,70,20.2,52.4,21.9,13.58,300,ITA,PA0249,0,1,NA,M,40.67525,14.86878,0,70,"outside at road; medium side rosette, healthy, some leaves gone; flowering; no soil available",,,,
P0029,ITA,2,1,2,2,1,0,1,1,NA,14,4,Sarno,40.83693,14.57942,53,19.4,511.9,16.9,7.52,300,ITA,PA0252,0,NA,NA,M,40.83693,14.57942,1,53,"left side farm entrance; small rosette, still vegegative, green",,,,
P0029,ITA,2,1,2,2,1,0,1,1,NA,14,4,Sarno,40.83693,14.57942,53,19.4,511.9,16.9,7.52,300,ITA,PA0255,0,NA,NA,M,40.83693,14.57942,1,53,"outside olive orchard; small rosette, dirty but green, just started flowering",,,,
