Sequence_ID	Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Host_Species	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Land_cov
PA1262.P188.BNE	PA1262.P188.BNE	BNE	P0188	PA1262	NA	NA	NA	SOIL		50.89959	4.12158	NA	NA	4.25	50.75	Cfb	20
PA1266.P189.BNE	PA1266.P189.BNE	BNE	P0189	PA1266	NA	NA	NA	SOIL		50.88866	4.60247	NA	NA	4.75	50.75	Cfb	20
PA1268.P189.BNE	PA1268.P189.BNE	BNE	P0189	PA1268	NA	NA	NA	SOIL		50.88866	4.60247	NA	NA	4.75	50.75	Cfb	30
PA1271.P195.IRE	PA1271.P195.IRE	IRE	P0195	PA1271	NA	NA	NA	SOIL		52.67437	-6.29735	NA	NA	-6.25	52.75	Cfb	30
PA1271.P195.IRE_rep	PA1271.P195.IRE_rep	IRE	P0195	PA1271	NA	NA	NA	SOIL		52.67437	-6.29735	NA	NA	-6.25	52.75	Cfb	20
PA1273.P195.IRE	PA1273.P195.IRE	IRE	P0195	PA1273	NA	NA	NA	SOIL		52.67437	-6.29735	NA	NA	-6.25	52.75	Cfb	20
PA1275.P196.IRE	PA1275.P196.IRE	IRE	P0196	PA1275	NA	NA	NA	SOIL		52.39283	-6.94348	NA	NA	-6.75	52.25	Cfb	14
PA1278.P196.IRE	PA1278.P196.IRE	IRE	P0196	PA1278	NA	NA	NA	SOIL		52.39283	-6.94348	NA	NA	-6.75	52.25	Cfb	14
PA1283.P197.IRE	PA1283.P197.IRE	IRE	P0197	PA1283	NA	NA	NA	SOIL		52.26638	-7.10075	NA	NA	-7.25	52.25	Cfb	20
PA1286.P197.IRE	PA1286.P197.IRE	IRE	P0197	PA1286	NA	NA	NA	SOIL		52.26638	-7.10075	NA	NA	-7.25	52.25	Cfb	20
PA1287.P198.IRE	PA1287.P198.IRE	IRE	P0198	PA1287	NA	NA	NA	SOIL		52.13662	-7.46801	NA	NA	-7.25	52.25	Cfb	14
PA1290.P198.IRE	PA1290.P198.IRE	IRE	P0198	PA1290	NA	NA	NA	SOIL		52.13662	-7.46801	NA	NA	-7.25	52.25	Cfb	14
PA1298.P202.IRE	PA1298.P202.IRE	IRE	P0202	PA1298	NA	NA	NA	SOIL		52.44792	-8.06358	NA	NA	-8.25	52.25	Cfb	20
PA1300.P200.IRE	PA1300.P200.IRE	IRE	P0200	PA1300	NA	NA	NA	SOIL		52.13976	-7.9322	NA	NA	-7.75	52.25	Cfb	20
PA1303.P200.IRE	PA1303.P200.IRE	IRE	P0200	PA1303	NA	NA	NA	SOIL		52.13976	-7.9322	NA	NA	-7.75	52.25	Cfb	14
PA1313.P203.IRE	PA1313.P203.IRE	IRE	P0203	PA1313	NA	NA	NA	SOIL		52.66856	-8.55832	NA	NA	-8.75	52.75	Cfb	14
PA1318.P204.IRE	PA1318.P204.IRE	IRE	P0204	PA1318	NA	NA	NA	SOIL		52.81228	-8.45633	NA	NA	-8.25	52.75	Cfb	14
PA1319.P204.IRE	PA1319.P204.IRE	IRE	P0204	PA1319	NA	NA	NA	SOIL		52.81228	-8.45633	NA	NA	-8.25	52.75	Cfb	14
PA1325.P205.IRE	PA1325.P205.IRE	IRE	P0205	PA1325	NA	NA	NA	SOIL		52.89413	-8.5529	NA	NA	-8.75	52.75	Cfb	14
PA1327.P205.IRE	PA1327.P205.IRE	IRE	P0205	PA1327	NA	NA	NA	SOIL		52.89413	-8.5529	NA	NA	-8.75	52.75	Cfb	14
PA1332.P206.IRE	PA1332.P206.IRE	IRE	P0206	PA1332	NA	NA	NA	SOIL		52.83387	-8.99243	NA	NA	-8.75	52.75	Cfb	20
PA1334.P206.IRE	PA1334.P206.IRE	IRE	P0206	PA1334	NA	NA	NA	SOIL		52.83387	-8.99243	NA	NA	-8.75	52.75	Cfb	20
PA1336.P207.IRE	PA1336.P207.IRE	IRE	P0207	PA1336	NA	NA	NA	SOIL		52.91175	-9.06598	NA	NA	-9.25	52.75	Cfb	90
PA1339.P207.IRE	PA1339.P207.IRE	IRE	P0207	PA1339	NA	NA	NA	SOIL		52.91175	-9.06598	NA	NA	-9.25	52.75	Cfb	90
PA1343.P208.IRE	PA1343.P208.IRE	IRE	P0208	PA1343	NA	NA	NA	SOIL		53.62622	-9.22583	NA	NA	-9.25	53.75	Cfb	14
PA1344.P208.IRE	PA1344.P208.IRE	IRE	P0208	PA1344	NA	NA	NA	SOIL		53.62622	-9.22583	NA	NA	-9.25	53.75	Cfb	14
PA1347.P209.IRE	PA1347.P209.IRE	IRE	P0209	PA1347	NA	NA	NA	SOIL		53.47957	-9.13189	NA	NA	-9.25	53.25	Cfb	190
PA1351.P209.IRE	PA1351.P209.IRE	IRE	P0209	PA1351	NA	NA	NA	SOIL		53.47957	-9.13189	NA	NA	-9.25	53.25	Cfb	190
PA1355.P210.IRE	PA1355.P210.IRE	IRE	P0210	PA1355	NA	NA	NA	SOIL		53.34742	-8.9437	NA	NA	-8.75	53.25	Cfb	120
PA1358.P210.IRE	PA1358.P210.IRE	IRE	P0210	PA1358	NA	NA	NA	SOIL		53.34742	-8.9437	NA	NA	-8.75	53.25	Cfb	120
